Landgrabbed;Landgrabber;Base;Sector;Hectares;Production;Projected investment;Status of deal;Summary
Argentina;Al-KhorayefGroup;SaudiArabia;Agribusiness;200000.0;Crops;Missing;Done;InOctober2010,inameetingwiththeGovernoroftheArgentineProvinceofChaco,JorgeCapitanich,SaudiSheikMohammedAl-Khorayefputforwardaproposalforalarge-scaleprojecttoproducefoodforexporttoSaudiArabia.InFebruary2011,representativesofAl-Khorayef'sfamilycompanysignedanagreementwiththeChacogovernmentforaUS$400-millionagriculturalprojectinwhichthecompanywouldbeallocatedrightsover200,000haoffarmlandintheElImpenetrableregionoftheprovincetoproducecropsfortheSaudimarket.Al-KhorayefisrepresentedinArgentinabySiasalatinoamericana(SIASA),whichisrunbyDanielTardito,CEOofEduardoEurnekian,oneofthebiggestlandownersintheChaco,withcloseconnectionstothecurrentandformergovernorsoftheProvince.
Argentina;AlmaraiCo;SaudiArabia;Agribusiness;12306.0;Maize,soybean;US$83million;Done;Almarai,thelargestdairycompanyintheGulf,purchasedtheArgentineagribusinesscompanyFondomonteSAinDecember2011inordertosecurelandsownedbyFondomontefortheproductionoffoddercropstoexporttoitsfarmsintheGulf.Almaraiispart-ownedbySavola,SaudiArabia'slargestfoodcompany,anditoperatesinternationallythroughajointventurewithPepsiCo.Ithaslarge-scaledairyfarmsinSaudiArabia,JordanandEgypt,aswellasseveralpoultryfarmsinSaudiArabiathroughits2009takeoverofSaudipoultryproducerHADCO.
Argentina;OlamInternational;Singapore;Agribusiness;17000.0;Maize,peanutsandsoybeans;Missing;Done;OlamisanIndiannon-residentcompany,basedinSingapore.Itisoneoftheworld'slargestcommoditytradersandisinvestingheavilyinfarmingoperationsandcontractfarmingschemes,particularlyinAfricaandLatinAmerica.Olamcultivates12,000haofpeanutfarmsandanother5,000haofsoybeansandmaizeinRíoCuartoareainCórdobaprovince,Argentina.Olamsaysthatithasplanstocontinuetheincreaseinacreageandgrowothercropssuchaswheat,soyaandpulses,whichcouldbeexportedtoIndia.
Argentina;KoreanOverseasDevelopmentCorporation;SouthKorea;Government;20894.0;Forestandpasture;Missing;Done;TheKoreangovernment'sOverseasDevelopmentCorporationbought21,000haoflandintheArgentinepampasin1978forUS$2,115,000.Koreaplannedtosend300farmerstotheareatobuildaKoreanvillage,butthecropsplantedbytheinitialemigrantsfailedandtheprojectnevermovedforward.In2008,ChosunIlboreportedthattheKoreaInternationalCooperationAgencywasworkingtoresurrecttheproject,developingthelandsintopastureandforest.
Argentina;Adecoagro;US;Agribusiness;242000.0;Cattle,dairy,grains,soybeans;Missing;Done;AdecoagroisapubliclytradedcompanylaunchedandcontrolledbythefundofUSbillionaireGeorgeSoros,withDutchpensionmanagerPGGMInvestmentsalsoowningamajorstake.AsofDecember2010,thecompanyowned287,884haoffarmlandinArgentina,BrazilandUruguay,andithas54,000hainBrazilforsugar-caneplantationsand74,000haonlong-termleasesinBrazilforgrazingitscattle.
Argentina;SivaGroup;Singapore;Agribusiness;2000.0;Olives;Missing;Done;SivaGroupisacompanyregisteredinSingaporethatisownedbyC.Sivasankaran,oneofIndia'srichestmen.Since2008,theSivaGrouphasbeeninvestingheavilyinfarmland,especiallyforpalm-oilproductioninAfrica.The2,000-haolivefarmwasacquiredthroughSivaGroup'ssubsidiary,theSterlingGroup.
Australia;JBS;Brazil;Agribusiness;1876.0;Livestock;US$40million;Done;In2007,BrazilianmeatgiantJBSacquiredUS-basedSwiftFood&Co.,givingitcontrolovertenmeatplantsandfivefeedlotsinAustralia.In2010,theAustralianCompetitionandConsumerCommissionapprovedJBS'A$38-millionpurchaseofa53,000cattlecapacityfeedlot,whichincludedafeedmill,abattoirandaround2,000haofland.
Australia;AlbertaInvestmentManagementCompany;Canada;Finance;252000.0;Missing;US$415million;Done;In2011,theAlbertaInvestmentManagementCompany(AIMCo),throughajointventurewithAustralia'sNewForest,purchased252,000haofland,coveringanumberoftitlesacrossseveralAustralianstates,fromGreatSouthernPlantations.AIMCo,oneofthelargestpensionfundmanagersinCanada,saysthatitexpectstodevelopamixofforestryandagriculturalproductiononthelands.
Australia;Hancock;Canada;Finance;2430.0;Grapes,nuts;Missing;Done;HancockAgriculturalInvestmentGroup,aunitofToronto-basedManulifeFinancialCorp.,Canada’slargestinsurer,managesUS$1.4billioninrealestate,covering93,000haoffarmlandintheUS,aswellas2,400hainAustraliaand400hainCanada.Italsomanages240,453haofforestinNewZealand.
Australia;Beidahuang;China;Agribusiness;80000.0;Dairyandgrainfarms;Missing;Inprocess;State-ownedBeidahuangisthelargestfarmingcompanyinChina,managingover2millionhaoffarmlandintheProvinceofHeilongjiang.Since2008,thecompanyhasbeenexpandingitsfarmingoperationsoverseas.ItisinnegotiationsforlargefarmlanddealsinArgentinaandthePhilippines,andtheAutralianBroadcastingCorporationreportsthat,in2011,thecompanyhadmadeoffersonanumberoffarmsinWesternAustralia,amountingtoabout80,000haoflandtoproducefoodforexporttoChina.
Australia;Chineseinterests;China;Missing;2800.0;Cattle;US$6.4million;Done;InDecember2011,thePropertyObserverreportedthatChineseinvestorshadboughtthe2,800-haMountFalconStation,whichrunssheepandcattle,fromentrepreneurSeanHowardforA$6million.
Australia;NanshanGroup;China;Industrial,realestate;30000.0;Superfinewool;Missing;Inprocess;InJanuary2012,theAustralianFinancialReviewreportedthatNanshanGroup,the188th-largestenterpriseinChina,hadmadeanofferforfoursheepfarmsinNewSouthWalesandTasmania.
Australia;NexisHolding;China;Construction;1705.0;Cattle,nuts;US$27million;Done;NexisHoldingsisaHongKong-basedcompanythatconvertswastematerialsintolow-costbuildingmaterialsforhouses.In2010,thecompanybeganbuyingfarmlandinAustralia.Itpurchaseda50-hamacadamiafarmforA$20millionontheCoastandthena1,685-hacattleoperationnearKinKinforA$25million.Thecompany’sfounderandexecutivechairmanisWalterFiller,aGermanwholivedinAustraliaformorethan40years.
Australia;ShaanxiKingbullLivestockCo;China;Agribusiness;5000.0;Cattle;Missing;Inprocess;InJanuary2012,theAustralianFinancialReviewreportedthatChina'sstate-ownedShaanxiKingbullLivestockCo.offeredtobuya5,000-hacattlestationinAustraliaasasteppingstonetoimporting10,000high-qualitybeefcattleandcalvesfromAustraliaeachyear.Kingbullhasmorethan80feedlotsinChina'sShaanxiProvince,eachholdingbetween300and1,000cattle.
Australia;InglebyCompany;Denmark;Finance;18170.0;Cattle,crops,sheep;Missing;Done;TheInglebyCompany,whichisownedbytheRausingfamily.hasfarmlandinvestmentsinArgentina,Romania,USA,Uruguay,NewZealandandAustralia.
Australia;DWSGALOF;Germany;Finance;27000.0;crops;Missing;Done;TheDWSGALOFfundisofferedbyDeutscheBankbuttheday-to-daymanagementofthefundisdelegatedtoDuxtonAssetManagementbasedinSingapore.Itwaslaunchedin2007,witharunningtimeuntil2016,andassetsof€110million.InAustralia31propertieswereaggregatedbyGALOFintoafarmofaround10,000hectares.
Australia;JPTCapitalAgrifund;Mauritius;Finance;33000.0;Wheat;US$79million;Done;JohnPaulThwaytes,aLondonCityfinancialtrader,runsJPTCapitaloutofMonaco.RecentlyJPTlaunchedtheJPTCapitalAgrifund,basedinMauritius,toacquireandoperatefarmsinAustralia.InFebruary2011,Agrimoneyreportedthatthefundhadraisedaround£10millionandacquired6farms,covering15,000ha,withplanstoacquire30farmswhenithasraisedthe£50mitistargeting.JPTplanstolistthefundontheDublinStockExchangeandtoexitfullyfromitsacquisitionsafter8-10years.
Australia;HassadFood;Qatar;Agribusiness;750000.0;Sheep,wheat;US$400million;Done;HassadFoodisaUS$1-billioncompanyestablishedbyQatar'ssovereignwealthfund.Ithasbeenleadingthecountry'squesttosecurefarmlandoverseasfortheexportoffoodtoQatar.Sofar,HassadFoodhasacquired13largefarmsinAustraliaforsheepandwheatproduction,which,accordingtoStock&Land,amountto750,000ha.Ithasalsoacquired100,000haoflandinSudan.HassadFoodintendstodoubleitsinvestmentsinAustralia,fromUS$200toUS$400million,andnegotiationsarealsounderwayforittoestablishacompanywithUS$100millioncapitalinTurkeyfortheproductionofsheepandcereals,aforagecompanyinBrazil,andricefarmsinVietnam,PakistanandIndia.
Australia;WilmarInternational;Singapore;Agribusiness;2500.0;Sugarcane;US$1,876million;Done;Wilmar,oneoftheworld'slargestagriculturalcommodityproducersandtraders,boughtSucrogenLtd,wichowns2,500hectaresofprimeagriculturallandinQueensland'sBurdekinregionin2011.
Australia;HoMyoungFarm;SouthKorea;Industrial;216000.0;Cattle,goats,sheep;Missing;Done;HoMyoungFarmisownedbytheYoungAnGroup,acorporationcontrolledbyKoreanbillionairebusinessmanandphilanthropistBaikSung-hak.MrBaikmadehisfortuneinthehattrade,accountingforaboutonethirdoftheglobalmarketinbaseball,cowboyanddresshats.HiscompanystartedinvestinginfarmlandinNewSouthWales,Australiain2010andnowownsaround216,000ha.
Australia;CountGustavWachmeister;Sweden;Finance;15700.0;livestock,cereal;US$21million;Done;InJanuary2010,CountCarlGustavWachmeisterofSwedenpurchasedMountElephantStation,a15,700-halivestockfarminVictoriaState,AustraliaforA$20million.
Australia;MitrPholGroup;Thailand;Agribusiness;6000.0;Sugarcane;US$336million;Inprocess;InNovember2011,ThaisugargiantMitrPholofferedtoacquireMSFSugar,whichwouldgiveitcontroloffourQueenslandsugarmillsandmorethan6,000haofagriculturallandandotherinfrastructureassets.MitrPholisAsia’slargestsugarproducerandamongthesixbiggestintheworld,withoperationsinThailand,LaosandChina.
Australia;MHPF;UK;Finance;47100.0;Cereals,livestock,sugarcane;US$136million;Done;TheprivateUK-basedpensionfundofbillionaireMichaelHintze,MHPF,haspurchased11ruralpropertiesinNewSouthWalesforatotalofA$127millionsince2007.The11farmscover47,100haandproducelivestock,wintercropsandsugarcane.TheHintzeportfoliohasbeenaccumulatedandmanagedbyRichardTaylor,adirectorofGrowthFarmsAustralia.
Australia;SouthernAgriculturalResources;UK;Finance;100000.0;Cotton,wheat;US$400million;Inprocess;TheUK-basedSouthernAgriculturalResourcesfundwaslaunchedin2010toacquirewheatandcottonfarmsinAustralia.InDecember2011,theAustralianFinancialReviewreportedthatthefundhadalreadyidentified24propertiestobepurchasedcoveringmorethan100,000ha.Thefundstatedthatitplannedtoraise£10millionbyOctober2011topurchaseitsfirstfarm,and£100millionbythesecondhalfof2012toacquiremorefarms.Thefund'seventualtargetisUS$400million.ThefarmswillbemanagedbyAustraliancompanyCustomisedFarmManagement,whichmanagesfarmsforUSpension-fundmanagerTIAA-CREF.Thefund’schairmanisDavidMontgomery,formerchairoftheAustralianCottonIndustryCouncil,anditsnon-executivedirectorisDerekShaw,aboardmemberandshareholderofMPEvans,whichownslargeareasofoil-palmplantationsinIndonesiaandpastorallandsinAustralia.
Australia;TerraFirmaCapital;UK;Finance;3200000.0;Livestock;US$456million;Done;In2009,BritishprivateequitycompanyTerraFirmaCapitalpurchased90%oftheConsolidatedPastoralCompanyforA$425million,givingitcontroloverapproximately2.6millionhainQueensland.Itpurchasedafurther600,000hain2009–10.
Australia;JimRogersFund;US;Finance;80000.0;Missing;US$375million;Inprocess;TheJimRogersFundisreportedtohaveidentified16propertiesforacquisition,covering80,000ha.Thefund,whichseekstoraiseUS$375million,willbeopenedfirsttoAustralianinvestorsandthentoforeigngroups.
Australia;TeachersInsuranceandAnnuityAssociation-CollegeRetirementEquitiesFund(TIAA-CREF);US;Finance;73000.0;Missing;US$16.7million;Done;USpension-fundmanagerTIAA-CREFhasaroundUS$2billioninvestedinfarmlandglobally,oftheUS$426billionthatithasundermanagement.Throughitsacquisitionof85%oftheWestchesterGroupin2010,TIAA-CREFboosteditownershipoffarmlandinAustraliato180,000ha,whichitholdsthroughWestchesterGroup'sUS$300-millionInternationalAgriculturalInvestorsFund.TIAA-CREF'sfarmsinAustraliaaremanagedbytheAustraliancompanyCustomisedFarmManagement.
Australia;BlackRiverAssetManagement;US;Finance;2100.0;Grain;US$5million;Done;BlackRiver,ahedgefundownedbyUSagribusinessgiantCargill,istargetingfarmlandacquisitions,mainlyinSouthAmericaandAsia.InAugust2011,theSydneyMorningHeraldreportedthatBlackRiver'ssubsidiaryBFBPtyLtdwasbuyinga2,100-hagrainfarmintheBlandshire,Australia.
Benin;"""Chineseinvestmentgroup""";China;Missing;10000.0;Oilpalm;Missing;Inprocess;InJuly2010,ANAreportedthattheChineseambassadortoBenin,GengWenbing,hadannouncedthatagroupofChinesebusinessmen,havingcompletedasassessmentoflocalconditions,wereplanningtoinvestinpalm-oilproductioninBeninandwouldimmediatelyrequireatleast10,000haoflandtobeginthedevelopmentofoil-palmplantations.
Benin;COMPLANT;China;Agribusiness,construction;4800.0;Cassava,sugarcane;Missing;Inprocess;TheChinaNationalCompleteImportandExportCorporationGroup(COMPLANT)functionedasaforeign-aidofficeforChinauntil1993,andwhileitnowtradesontheShenzhenStockExchange,itscontrollingshareholderistheStateDevelopment&InvestmentCorporation,thelargeststate-ownedinvestmentholdingcompanyinChina.Thecompanyisinvolvedinanumberofconstructionandinfrastructureprojectsoverseasandseveralagriculturalprojects.In2010,COMPLANT'ssubsidiaryHuaLienInternationalannouncedplanstoestablishajointventurewithCOMPLANTandtheUS$5-billionChina-AfricaDevelopmentFundtosetupethanolprojectsinvariousAfricancountries.ThethreecompaniesplantolaunchtheventureinBeninandrollouttoothercountriesinthecomingyears.TheventurewilldrawonCOMPLANT'snumerousrecentinvestmentsinsugar-caneandcassavaproduction,includingan18,000-hasugar-caneplantationinJamaica,aproposed4,800-hasugar-caneandcassavaventureinBenin,a1,320-hasugar-caneplantationandfactoryinSierraLeone,wherein2006italsoannouncedplanstoexpanditsholdingsto8,100hatobeginproductionofcassava.InMadagascarCOMPLANThasbeenrunningtheSUCOMAsugarfactorysince1997and,in2008,underatwenty-yearmanagementcontract,ittookoverthestate-ownedsugarrefinerySUCOCOMA,givingitcontrolover10,000haforsugar-caneproduction.
Benin;GreenWaves;Italy;Finance;250000.0;Sunflower;Missing;Done;InAugust2007,LeMatinalreportedthattheItaliancompanyGreenWaveswasgiventheauthorisationandthesupportoftheGovernmentofBenintoproducesunfloweron250,000hainOuèssè,Benin.
Benin;Libyaninvestors;Libya;Missing;2000.0;Missing;Missing;Inprocess;Accordingtoa2010reportbyBenin'sfarmersorganisationSynergiePaysanne,agroupofLibyaninvestorsacquired2,000haoflandinZakpota.
Benin;BETEXCO;Nigeria;Energy;1500.0;Cassava;Missing;Done;Accordingtoa2010reportbyBenin'sfarmersorganisationSynergiePaysanne,theNigeriancompanyBETEXCOacquired1,500haoflandinZogbodomeyforcassavaproduction.
Bolivia;Cresud;Argentina;Agribusiness;17000.0;Soybean;Missing;Done;Cresudwasasmallfarmlandoperatormanaging20,000hawhenitwastakenoverbyGeorgeSorosandArgentinianreal-estatetycoonEduardoElsztaininthe1990s.Withinafewyears,thecompanygrewtocontrolnearlyhalfamillionhainArgentina.AfterSorossoldhissharesinthecompanyin1999,Elsztaincontinuedtoexpanditslandholdings.By2011,CresudwasArgentina'slargestlandholder,controllingover628,000ha,onwhichitproducesmainlysoybeansandcattle,aswellaslandsinneighbouringcountries.Cresudcontrols17,000hainBolivia,142,000hainParaguay,and175,000hainBrazilthroughitscontrollinginterestinfarmlandoperatorBrasilAgro.Addedup,Cresud'sfarmlandbankstandsat962,000ha.ElsztaintypicallyfinancesCresud'sexpansionsthroughsharesalesontheNasdaq.Butit'salsofindingnewsourcesofcash.InJune2011,itinkedadealforajointventurewithChina'slargestfarmingcompany,HeilongjiangBeidahuangNongkenGroup,tobuylandinArgentinaandfarmsoybeansfortheGroup.
Bolivia;PengxinGroup;China;Realestate;12500.0;Maize,soybean;Missing;Done;Shanghaireal-estatemogulJiangZhaobai,ChairmanandownerofthePenxinGroup,hasbeeninvestingheavilyinfarmlandoverthepastfewyears.InChina,itacquired650haoffarmlandnearShanghai,usedforsheep,wheatandsoybeans,andhasanother930-hasheepfarminShandongProvince.OutsideChina,thecompanyinvestedmorethanUS$20millioninaBoliviansoybeanandmaizefarm,establishedlarge-scalefarmsinCambodiaandArgentina,andisnegotiatingtobuy200,000haoflandinBraziltogrowsoybeansandcotton.InJanuary2011,itmadeanoffertobuyCrafarfarmsinNewZealand,whichencompasses16dairyfarms,followinganunsuccessfulbidbyChina’sNaturalDairy(NZ)HoldingsLtd.ThesalewasapprovedbyNewZealand'sgovernmentinJanuary2012.
Brazil;Cresud;Argentina;Agribusiness;175000.0;Cattle,crops,sugarcane;Missing;Done;Cresudwasasmallfarmlandoperatormanaging20,000hawhenitwastakenoverbyGeorgeSorosandArgentinianrealestatetycoonEduardoElsztaininthe1990s.Withinafewyears,thecompanygrewtocontrolnearlyhalfamillionhainArgentina.AfterSorossoldhissharesinthecompanyin1999,Elsztaincontinuedtoexpanditslandholdings.By2011,CresudwasArgentina'slargestlandholder,controllingover628,000ha,onwhichitproducesmainlysoybeansandcattle,aswellaslandsinneighbouringcountries.Cresudcontrols17,000hainBolivia,142,000hainParaguay,and175,000hainBrazilthroughitscontrollinginterestinfarmlandoperatorBrasilAgro.Addedup,Cresud'sfarmlandbankstandsat962,000ha.ElsztaintypicallyfinancesCresud'sexpansionsthroughsharesalesontheNasdaq.Butit'salsofindingnewsourcesofcash.InJune2011,itinkedadealforajointventurewithChina'slargestfarmingcompany,HeilongjiangBeidahuangNongkenGroup,tobuylandinArgentinaandfarmsoybeansfortheGroup.
Brazil;ElTejar;Argentina;Agribusiness;220000.0;Cereals,oilseeds;Missing;Done;ElTejarbeganasanassociationofArgentinecattlefarmersinthe1980s,butthenbecameinvolvedingrainproductioninthe1990s.Bytheendofthedecadeitwasoneofthelargestsoybeanproducersinthecountry,farmingonrentedland.After2006,foreigninvestorsenteredthecompany,suchasLondon-basedhedgefundAltimaPartners,whichnowowns40%ofthecompany,theWorldBank'sInternationalFinanceCorporationandUSprivateequityfirmCapitalGroup,andElTejarstartedtoacquireitsownfarmsinArgentina,UruguayandBrazil,whereitisnowthelargestfarmoperator.In2006,ElTejarwasfarmingaround200,000ha,andtodaytheyarefarmingcloseto800,000ha.ThecompanyintendstolaunchanIPOonNewYorkorSãoPaulostockexchangestoaccessmorecapitaltoexpanditslandholdings.
Brazil;LosGrobo;Argentina;Agribusiness;60000.0;Soybeans;Missing;Done;LosGroboisownedbyArgentina'sGrobocopatelfamily,thesecond-largestsoybeanproducerinthecountry,withover120,000haunderproduction.ThecompanyhasrecentlyfocusedonexpansioninotherLatinAmericancountries,suchasUruguay,withsoybeansplantedon76,300ha,andParaguay,whereitplantssoybeanson22,000ha.InBrazil,LosGrobohad60,000haunderproductionby2011,andsaysitplanstotripleitslandholdingsoverthenextfewyearsbywayofajointventurecompanycalledLGAgro,formedin2011withBrazil’sGrupoVinciPartners.InAugust2011,LosGrobo'sBraziliansubsidiariesweremergedintoLGAgro,alongwithSollusCapital,afarmlandfundinwhichLosGroboisactive,andGrupoVinci'sCompanhiaMineiradeAçúcareÁlcool,amajorsugarandethanolproducerinBrazil.
Brazil;BrookfieldAssetManagement;Canada;Finance;97124.0;Crops;Missing;Done;BrookfieldAssetManagementisaCanadianfundmanagerthatinvestsinfarmlandinBrazilthroughitsUS$330-millionBrookfieldBrazilAgrilandFund.
