Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years’ time?,What do you think the average income for the class with be in ten years’ time?,What is the ideal age to get married?,When did you start your studies at Fontys?
8-9-2016 13:23:39,white,Sony Xperia z5 premium,male,Dutch,by train,Software Engineering,Every 15 minutes,5,100 euro,50.000 euro,35.000 euro,,September 2013
8-9-2016 13:23:45,milk,Samsung,male,Dutch,Bike,Software,Once a day,10,|€80,-|,€120.000,€90.000,,2012
8-9-2016 13:24:11,milk,LG G4,man,Dutch,Bus,Software Engineering,5-10x a day,8,60 euro,-1000 dollas,-1000 dollas,,2013
8-9-2016 13:24:19,milk,Sony Z3+,male,Dutch,Bicycle,Business,Daily,12,|€110,-|,|€40.000,-|,|€50,000,-|,,2011
8-9-2016 13:24:24,brown,iphone,male,romanian,walking,ERP,daily,6,80,120.000,100.000,,2014
8-9-2016 13:24:44,milk,Huawei,male,Bulgarian,Bike,ERP and BI,3 times a day,6,80,60000,60000,,2014
8-9-2016 13:24:45,white,samsung s7,male,dutch,train,software engineering,5 times a day,10,100 euros,30000,30000,,2013
8-9-2016 13:26:17,milk,Samsung,male,Dutch,Car,Software Engineering,Daily,Plenty,<script>window.alert("hoi");</script>,A small loan of a million dollars,|Very low, they suck|,,2012
8-9-2016 13:26:57,milk,samsung,male,ukrainian,walked,pcs,2/day,7,150,a lot,a lot,,2014
8-9-2016 13:27:36,milk,Samsung,male,Dutch,|Bike, Bus, Walking|,ICT & Software Engineering,3 times a week,5,?,?,?,,September 2013
8-9-2016 13:27:38,dark,Samsung,male,Indian,|Walking, by cycle|,ICT Business,Very,5,70 euros,120000 euros,1000000 euros,,2013
9-9-2016 8:58:24,regular,LG Nexus 5X,male,Dutch,Train,Software Engineering,|2, maybe 3 times a day|,5,€50,€35.000,€30.000,,2012
9-9-2016 9:00:36,hazelnut,iPhone,male,Dutch,Bike,Software Engineering,Daily,5,|€60,-|,No idea,No idea,,2012
9-9-2016 9:02:12,milk,Iphone,man,Dutch,Bike,Bicycle,not at all,200,-50,3500,3500,,2014
9-9-2016 9:02:55,pure,Galaxy s5,male,Netherlands,Bike,ICT & Technology ,Daily,6,100,40000,36000,,2014
9-9-2016 9:03:53,brown,Samsung s7 edge,male,Bulgarian,By car,Software engineering,Every few hours or so,4,60 euros,60 000,40 000,,September 2014
9-9-2016 9:05:50,milk,Oneplus one,male,dutch,car,software engineering,once a week,6,120,70000,40000,,2012
9-9-2016 9:05:56,milk,Oneplus 3,male,Dutch,Car,Software,Once a month,4,No idea,70000,40000,,2012
9-9-2016 9:06:05,milk,Smarthphone,male,Bulgarian,By foot,Software Engineering,about five times a day,six,80,36 000,36 000,,2014
9-9-2016 9:06:28,bitter,iphone,male,venezuelan,bike,ICT,very often,6,100,300k,90k,,2014
9-9-2016 9:06:31,black,iPhone 6S,male,Bulgarian,Car,,Every 30 minutes,15,20 euros,120 000,120 000,,September 2014
9-9-2016 9:07:08,white,android,male,bulgarian,by car,software engineering,every day,10,200,10000,50k,,09/2014
9-9-2016 9:07:17,milk,HTC One M8,male,Dutch American,Bus and walking,Software Engineering,5,5,$100,$100000,$80000,,2013
9-9-2016 9:09:13,milk,Nokia Lumia 920 / One+2,male,Dutch,Bus,Software Engineering,Never,Unknown,50$,,,,|September, 2013|
9-9-2016 9:10:00,milk,Oneplus one,male,dutch,car,software engineering,once a week,6,120,70000,40000,,2012
9-9-2016 9:18:22,milk,LG,male,Polish,Bike,Data Science,Rarely,3,£60,50k,20k,,Last Week
5-9-2017 12:55:50,white,Smartphone,male,Dutch,By train,Applied data sience,Daily,9,40,3000 euro monthly,3500 euro monthly,,2015
5-9-2017 13:12:16,nutella,NaN,male,Dutch,By spacecraft,Applied data science,never,1337,1337,140,|140,000 * 60 |,,3 years ago
5-9-2017 13:12:35,white,Android,male,Dutch,Public transport,Software Engineering,too much,10,50,100.000,50.000,,2014
5-9-2017 13:12:42,x,x,x,x,x,x,x,x,x,x,x,,x
5-9-2017 13:13:40,white,Huwaii,male,The Netherlands,By bus,Business,5 per day,2,|€80,-|,|€65.000,-|,|€60.000,-|,,2015
5-9-2017 13:13:51,white,OnePlus 3,man,Dutch,By bus,Software Engineering,Every day,More than 10,About 75 euros,A shit ton,|A shit ton less than mine, 'cause I'm awesome af|,,3 years ago
5-9-2017 13:14:21,milk,Android,helicopter,Dutch,OV,Software,often,5,50 euro,40k,no clue,,2015
5-9-2017 13:14:51,white,Samsung 6 Edge,male,Dutch,Train,Software Engineering,once a week,4,50 euro,BIG MONEY,BIG MONEY +1,,2013
5-9-2017 13:14:53,white,Oneplus 3,male,Dutch,Bike,Software Engineering,1x a month,20,too much,One hunderd million trillion dollars,$50,,2012
5-9-2017 13:15:49,milk,Samsung Galaxy S8,male,Dutch,Train,Software Engineering,Couple times per hour,4,$154 ,$2661,Too much,,September 1st 2014
5-9-2017 13:15:55,milk,a black one,male,dutch,bus and train,software engineering,|a couple of times per day, depends on the weather and how many birds were outside my window in the morning|,like 8 or so,10 397.9873¥,not enough,integer overflow,,1 jan 1970
5-9-2017 13:16:41,milk,OnePlus 3,male,Dutch,Annoyed,Software Engineering,1-20 times a day,30,€70,€42.000,€36.000,,2014
5-9-2017 13:20:35,milk,apple,male,British,walk,ICT,never,7,200,40000,40000,,2015
5-9-2017 13:22:13,white,Sony xperia z3 compact,male,Dutch,Fontys,Applied Data Science,Daily,420,over 9000,1000000,10000000,,6969
6-9-2017 12:57:06,white,samsung,male,Dutch,by car,software engineering,30-40 min,8,€200,€1.000.000,€75.000,,2014
6-9-2017 12:57:22,bbw,Huawei,male,Dutch,Public Transport (bus & train),Software,never,8,50,120000,55000,,2015
6-9-2017 12:57:33,white,Android,male,Dutch,Train,Software Engineering,Way too often,10,€120,?,?,,2014
6-9-2017 12:58:09,dark,iPhone,male,Dutch,By bike,Software Engineering,Daily,20,€100,€500.000,€100.000,,2014
6-9-2017 12:58:41,pure,Samsung,male,Dutch,Motorcycle,Software Engineering,once a day,8,380 euro,80000,50000,,February 2015
6-9-2017 12:59:13,milk,iPhone 7,male,Dutch,Bicycle,Software Engineering,Weekly,6,80,50.000,50.000,,2015
6-9-2017 12:59:15,milk,iPhone,male,Dutch,Car,Media Design,5 times a day,6,€50,2500,28002,,q
6-9-2017 12:59:18,dark,One Plus,male,Dutch,Train and Bike,Software engineering,Daily,5,120,70000,65000,,01-09-2013
6-9-2017 12:59:22,milk,iPhone,male,Dutch,Car,Media Design,5 times a day,6,€50,2500,2800,,q
6-9-2017 12:59:23,milk,Huawei,male,Dutch,Public transit,Software,once a day,5,40 EUR,20000 EUR,30000 EUR,,2014
6-9-2017 12:59:32,milk,Samsung,male,Dutch,Bus,Software Engineering,never,10,120 EUR,50000 EUR,48000 EUR,,Sep 2014
6-9-2017 12:59:41,dark,iPhone 5s,male,Dutch,Bike/Train,Software Engineering,Every day,6,150,No idea,No idea,,2014
6-9-2017 13:00:06,white,iPhone 6S,male,Dutch,Car,Big Data,Once a day,7,120,200.000,150.000,,2014
6-9-2017 13:00:35,dulcey,Iphone,male,French,Bike,Entrepreneurship,20 times a day,4,75,70000,70000,,2017
6-9-2017 13:01:59,black,smartphone,male,French,Bicycle,Mechanical,More 5/days,5,90,50000,50000,,August 2017
6-9-2017 13:02:04,dark,LG Nexus 5X,male,Dutch,|By bus, train and foot|,Software engineering,15,5,€20,€70.000,€55.000,,2014
6-9-2017 13:02:11,dark,Motorola X Style,man,Dutch,By Car,Software Engineering,once a week,5,100 euro,1.000.000 Euros,500.000 Euros,,2014
6-9-2017 13:02:15,none,Iphone,male,Dutch,Bus,Software,42,5,0,50000,50000,,2014
6-9-2017 13:02:27,white,Samsung,male,French,Bike,Data Bases,More than 10 times a day,3,80€,60000,50000,,28/08/2017
6-9-2017 13:02:28,dark,OnePlus3,male,Dutch,Bike,GCD,10 times a day,10,60 euro's,40.000,40.000,,2014
6-9-2017 13:03:01,melk,iPhone 6s,male,Nederlandse,Fiets,ICT & Technology,Niet zo vaak,Geen idee,25 euro ofzo,Geen idee eigenlijk,Weet ik ook niet,,2014 volgens mij
6-9-2017 13:03:36,milk,Samsung,male,Dutch,Car,Software ,twice a day,10,€180,40000,45000,,2014
6-9-2017 13:03:40,black,iPhone 6,male,Dutch,bus,math,too much,4,200 euro,4k,3.5k,,2013
6-9-2017 13:03:45,pure,Android,male,Dutch,Scooter,Software,once a day,15,€100,€40.000,€35.000,,2014
6-9-2017 13:04:30,black,Sony Xperia E,male,Dutch,Bicycle,Software Engineering,Never,12,65,A lot,About as much,,2014
6-9-2017 13:04:40,white,Motorola,man,Dutch,Car,Software engineering,2 to 3 times a day,10,110,60.000,60.000,,2014
6-9-2017 13:05:10,pure,OnePlus 5 MasterRace,male,Dutch,Scooter,Software,once a day,15,€100,€40.000,€35.000,,2014
6-9-2017 13:05:16,milk,Samsung S6,male,Dutch,Car,Software Engineering,To often,15,50,1337000,.01,,2014
6-9-2017 13:05:23,milk,iPhone SE,male,Dutch,Bike,Software Engineering,Never,4,60,32000,32000,,September 2015
6-9-2017 13:06:04,milk,Samsung Galaxy S5,male,The Netherlands,Bike,Software Engineering,20x a day,15,150,50k,50k,,2014
6-9-2017 13:06:07,milk,Samsung,male,Dutch,Train,ICT & Software Engineering,Rarely,Some,Dnno,Reasonable,Dnno,,3 years ago
6-9-2017 13:06:30,milk,OnePlus 3,meel,Dutch,Bicycle,Software Engineering,Never,5,80,30000,25000,,September 2014
6-9-2017 13:06:50,nothing,OnePlus,male,Nederlandse,I was cycling to college,Computer Science,It's open but that pice of shit barely get read,,,,,,IDK
6-9-2017 13:06:57,milk,one plus,male,Dutch,|bike, train and bus|,Software Engineering,twice a month,3,€60,40000,40000,,2014
6-9-2017 13:07:29,nothing,OnePlus,male,Nederlandse,I was cycling to college,Computer Science,It's open but that pice of shit barely get read,IDK stalker,Fuck these questions,3 million,3000,,IDK
6-9-2017 13:17:21,what,is,love,?,Baby,don't,me,,No ,more,!,,hurt
6-9-2017 13:26:24,somebody,once,told,me,the,world,gonna,role,me,,,,is
6-9-2017 13:27:55,bier,bier,bier,bier,bier,bier,bier,bier,bier,bier,bier,,bier
6-9-2017 13:57:00,bier,bier,bier,bier,bier,bier,bier,bier,bier,bier,bier,,bier
6-9-2017 15:18:52,milk,Huawei,male,Dutch,Public transit,Software,once a day,5,40 EUR,20000 EUR,30000 EUR,,2014
